,property_type,state,region,lat,lon,area_m2
1,apartment,Pernambuco,Northeast,-8.134204,-34.906326,72
2,apartment,Pernambuco,Northeast,-8.1266642,-34.903924,136
3,apartment,Pernambuco,Northeast,-8.1255503,-34.907601,75
4,apartment,Pernambuco,Northeast,-8.1202489,-34.89592,187
5,apartment,Pernambuco,Northeast,-8.142666,-34.906906,80
6,apartment,Pernambuco,Northeast,-8.1376709,-34.913349,94
7,apartment,Pernambuco,Northeast,-8.1415992,-34.909179,80
8,apartment,Pernambuco,Northeast,-8.1273367,-34.902712,54
9,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,
10,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,63
11,apartment,Pernambuco,Northeast,-8.1267642,-34.903425,105
12,apartment,Pernambuco,Northeast,-8.1109179,-34.898785,88
13,apartment,Pernambuco,Northeast,-8.140095,-34.90444,167
14,apartment,Pernambuco,Northeast,-8.1272168,-34.89868,170
15,apartment,Pernambuco,Northeast,-8.1170788,-34.899475,
16,apartment,Pernambuco,Northeast,-8.1411081,-34.90887,64
17,apartment,Pernambuco,Northeast,-8.1205721,-34.900301,81
18,apartment,Pernambuco,Northeast,-8.1255503,-34.907601,72
19,apartment,Pernambuco,Northeast,-8.1311923,-34.905777,83
20,apartment,Pernambuco,Northeast,-8.1286491,-34.906648,
21,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,63
22,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,73
23,apartment,Pernambuco,Northeast,-8.1381022,-34.904297,88
24,apartment,Pernambuco,Northeast,-8.1135593,-34.899778,109
25,apartment,Pernambuco,Northeast,-8.1201808,-34.901596,80
26,apartment,Pernambuco,Northeast,-8.1421058,-34.906731,104
27,apartment,Pernambuco,Northeast,-8.1260517,-34.902553,73
28,apartment,Pernambuco,Northeast,-8.1384551,-34.909165,69
29,apartment,Pernambuco,Northeast,-8.1211048,-34.907255,90
30,apartment,Pernambuco,Northeast,-8.1100714,-34.893698,183
31,apartment,Pernambuco,Northeast,-8.126948,-34.905159,98
32,apartment,Pernambuco,Northeast,-8.108315,-34.898277,
33,apartment,Pernambuco,Northeast,-8.109441,-34.898106,130
34,apartment,Pernambuco,Northeast,-8.109441,-34.898106,
35,apartment,Pernambuco,Northeast,-8.109441,-34.898106,128
36,apartment,Pernambuco,Northeast,-8.109441,-34.898106,130
37,apartment,Pernambuco,Northeast,-8.109441,-34.898106,100
38,apartment,Pernambuco,Northeast,-8.109441,-34.898106,128
39,apartment,Pernambuco,Northeast,-8.046015,-34.910507,55
40,apartment,Pernambuco,Northeast,-8.086438,-34.89069,
41,apartment,Pernambuco,Northeast,-8.0415623,-34.9416901,60
42,apartment,Pernambuco,Northeast,-8.040035,-34.899654,182
43,apartment,Pernambuco,Northeast,-8.046015,-34.910507,55
44,apartment,Pernambuco,Northeast,-8.056418,-34.909309,133
45,apartment,Pernambuco,Northeast,-8.033291,-34.898014,113
46,apartment,Pernambuco,Northeast,-8.048381,-34.908379,123
47,apartment,Pernambuco,Northeast,-8.02765,-34.920338,105
48,apartment,Pernambuco,Northeast,-8.0332786,-34.9069915,
49,apartment,Pernambuco,Northeast,-8.0332786,-34.9069915,180
50,apartment,Pernambuco,Northeast,-8.094985,-34.892761,160
51,apartment,Pernambuco,Northeast,-8.021971,-34.931366,
52,apartment,Pernambuco,Northeast,-8.0330615,-34.8950223,160
53,apartment,Pernambuco,Northeast,-8.03145,-34.917198,55
54,apartment,Pernambuco,Northeast,-8.126271,-34.903793,240
55,apartment,Pernambuco,Northeast,-8.0288008,-34.9190997,155
56,apartment,Pernambuco,Northeast,-8.027162,-34.913445,117
57,apartment,Pernambuco,Northeast,-8.0124263,-34.9074499,238
58,apartment,Pernambuco,Northeast,-8.048381,-34.908379,167
59,apartment,Pernambuco,Northeast,-8.085706,-34.890419,71
60,apartment,Pernambuco,Northeast,-8.032375,-34.906925,
61,apartment,Pernambuco,Northeast,-8.032375,-34.906925,61
62,house,Pernambuco,Northeast,-8.027666,-34.881813,160
63,apartment,Pernambuco,Northeast,-8.040233,-34.898281,82
64,apartment,Pernambuco,Northeast,-8.035595,-34.921719,
65,apartment,Pernambuco,Northeast,-8.0295901,-34.909819,210
66,apartment,Pernambuco,Northeast,-8.048997,-34.91011,175
67,apartment,Pernambuco,Northeast,-8.027162,-34.913445,62
68,apartment,Pernambuco,Northeast,-8.027162,-34.913445,62
69,apartment,Pernambuco,Northeast,-8.027162,-34.913445,
70,apartment,Pernambuco,Northeast,-8.021971,-34.931366,150
71,apartment,Pernambuco,Northeast,-8.047531,-34.9142641,
72,apartment,Pernambuco,Northeast,-8.0294182,-34.9243177,240
73,apartment,Pernambuco,Northeast,-8.021971,-34.931366,204
74,apartment,Pernambuco,Northeast,-8.149876,-34.910686,78
75,apartment,Pernambuco,Northeast,-8.035618,-34.89333,149
76,apartment,Pernambuco,Northeast,-8.037489,-34.89537,80
77,apartment,Pernambuco,Northeast,-8.027162,-34.913445,79
78,house,Pernambuco,Northeast,-8.0356845,-34.9234524,238
79,apartment,Pernambuco,Northeast,-8.116955,-34.896206,128
80,apartment,Pernambuco,Northeast,-8.117513,-34.899639,129
81,apartment,Pernambuco,Northeast,-8.117513,-34.899639,129
82,apartment,Pernambuco,Northeast,-8.034344,-34.896725,67
83,apartment,Pernambuco,Northeast,-8.035971,-34.895073,135
84,apartment,Pernambuco,Northeast,-8.126271,-34.903793,
85,apartment,Pernambuco,Northeast,-8.125065,-34.906685,70
86,apartment,Pernambuco,Northeast,-8.032252,-34.893612,134
